Woolgunjin Point,-16.68333,139.38333
Woolgorong Well,-27.78333,115.76667
Woolgorong,-27.74556,115.8272
Woolgerong Well,-27.38333,117.36667
Woolgerong,-27.43333,117.38333
Woolgerong,-29.63333,117.41667
Woolgatharra Pool,-24.3,117.53333
Woolgangie,-31.16667,120.53333
Woolgangi,-33.5,139.5
Woolgah,-28.21667,116.73333
Woolering Well,-31.51667,117.73333
Woolen River,-12.28333,135.21667
Wooleen,-27.08595,116.16
The Wooldridge,-27.16667,135.31667
Woolcutting Soak,-32.18333,119.08333
Woolbunna Pool,-24.43333,119.88333
Woolbunglin Well,-31.8,117.88333
Woolbertharra,-26.86667,117.2
Woolbernup Hill,-34.03333,119.7
Woolbenalling Hill,-31.6,117.5
Wool Bay,-35,137.75
Woolbannah Hill,-13.6,130.33333
Woolbale Hills,-34.96667,116.58333
Woolawandawoolana Well,-21.13333,116.05
Woola Tank,-32.01667,132.28333
Woolaring Well,-31.95,117.33333
Woolargarloo Spring,-27.35,116.23333
Woolanooka Hill,-28.88333,114.85
Woolamba,-33.26667,139.5
Woolabudda Out Camp,-18.25,124.08333
Wookia Rockhole,-27.56667,114.76667
Wooka Wooka,-30.73333,115.3
Wookata,-31.93333,132.28333
Woojalong Pool,-27.78333,116.45
Woojalong Hills,-27.76667,116.46667
Woogorong Well,-26.61667,115.91667
Woogorong Marsh,-26.63333,115.9
Wooggooddy Wurroong Well,-27.31667,114.33333
Woogenellup,-34.51667,117.83333
Wooganup,-33.76667,119.58333
Woogalong,-27.80873,116.5742
Woody Lake,-33.81667,121.91667
Woody Island,-33.96095,122.0129
Woody Island,-13.81161,136.08711
Wood Waterhole,-27.91667,136.23333
Mount Woodward,-30.83262,119.0131
Mount Woodward,-26.0562,131.09801
Woodville,-34.88333,138.55
Woods Well,-36,139.53333
Woodstock,-35.35,139.05
Woodstock,-21.61894,118.9561
Woods Promontory,-14.81667,131.66667
Woods Lake,-17.73333,139.5
Woods Inlet,-12.48333,130.25
Woodside,-34.95433,138.87901
Woods Hills,-19.66667,121.81667
Woods Flat,-34.21667,139.61667
Woods Dam,-30.7,135.7
Mount Woods,-13.05927,131.20804
Mount Woods,-29.33147,135.36224
Mount Woods,-23.15,137.65
Lake Woods,-17.9,133.43333
Woods,-34.25,138.51667
Woodroffe River,-21.46667,137.96667
Mount Woodroffe,-26.3189,131.74526
Wood River,-16.66667,127.05
