eqid,lon,region,depth,src,nst,version,datetime,lat,magnitude
2010zwbe,167.736400000000000,Vanuatu,35.200000000000000,us,42,6,Thu Aug 12 00:00:00 -0400 2010,-17.342700000000000,5.200000000000000
2010vbbf,-73.025599999999900,"offshore Maule, Chile",35.000000000000000,us,22,7,Wed Apr 14 00:00:00 -0400 2010,-35.733600000000000,4.600000000000000
2010zxcf,141.487400000000000,Mariana Islands region,4.700000000000000,us,294,6,Fri Aug 13 00:00:00 -0400 2010,12.409400000000000,7.200000000000000
2010zxbb,-32.991000000000000,Azores Islands region,10.000000000000000,us,53,7,Fri Aug 13 00:00:00 -0400 2010,36.893099999999900,4.800000000000000
2010zyaq,-77.380700000000000,Ecuador,206.599999999999000,us,46,7,Fri Aug 13 00:00:00 -0400 2010,-1.345800000000000,4.400000000000000
2010aja9,144.259099999999000,"off the east coast of Honshu, Japan",10.199999999999900,us,93,6,Wed Aug 25 00:00:00 -0400 2010,39.390799999999900,4.800000000000000
2010vbbd,96.846299999999900,"southern Qinghai, China",10.000000000000000,us,9,7,Wed Apr 14 00:00:00 -0400 2010,33.077399999999900,4.100000000000000
2010zxbt,-32.894799999999900,Azores Islands region,19.399999999999900,us,52,6,Fri Aug 13 00:00:00 -0400 2010,37.014499999999900,4.800000000000000
2010zxa3,-32.933500000000000,Azores Islands region,10.000000000000000,us,83,6,Fri Aug 13 00:00:00 -0400 2010,36.930500000000000,5.400000000000000
2010zxbf,153.054300000000000,east of the Kuril Islands,33.299999999999900,us,18,6,Fri Aug 13 00:00:00 -0400 2010,45.949599999999900,4.600000000000000
2010zyaf,139.699099999999000,"Papua, Indonesia",57.200000000000000,us,56,7,Fri Aug 13 00:00:00 -0400 2010,-3.297700000000000,5.100000000000000
2010zyag,141.054000000000000,"Bonin Islands, Japan region",108.799999999999000,us,150,6,Fri Aug 13 00:00:00 -0400 2010,26.273099999999900,5.200000000000000
2010akar,130.230899999999000,Banda Sea,139.199999999999000,us,32,6,Wed Aug 25 00:00:00 -0400 2010,-6.557000000000000,5.100000000000000
2010zyau,141.558400000000000,Mariana Islands region,10.000000000000000,us,45,Q,Fri Aug 13 00:00:00 -0400 2010,12.298299999999900,4.700000000000000
2010zxcm,141.757900000000000,Mariana Islands region,10.000000000000000,us,20,7,Fri Aug 13 00:00:00 -0400 2010,12.461000000000000,4.800000000000000
2010vba7,140.032700000000000,"Izu Islands, Japan region",108.099999999999000,us,146,6,Wed Apr 14 00:00:00 -0400 2010,31.799399999999900,5.000000000000000
2010vacp,96.628600000000000,"southern Qinghai, China",10.000000000000000,us,73,7,Tue Apr 13 00:00:00 -0400 2010,33.270699999999900,6.900000000000000
2010zxbg,-32.983300000000000,Azores Islands region,10.000000000000000,us,69,7,Fri Aug 13 00:00:00 -0400 2010,36.856600000000000,4.800000000000000
2010zyah,105.770300000000000,"Java, Indonesia",35.000000000000000,us,24,6,Fri Aug 13 00:00:00 -0400 2010,-7.704200000000000,4.900000000000000
2010zxbx,150.180399999999000,"New Britain region, Papua New Guinea",70.099999999999900,us,16,6,Fri Aug 13 00:00:00 -0400 2010,-7.123600000000000,5.200000000000000
2010zxa8,-90.656199999999900,offshore Guatemala,70.299999999999900,us,25,6,Fri Aug 13 00:00:00 -0400 2010,13.722400000000000,4.300000000000000
2010zxcb,142.598199999999000,"Izu Islands, Japan region",35.000000000000000,us,38,6,Fri Aug 13 00:00:00 -0400 2010,32.702599999999900,4.800000000000000
2010zyam,142.196699999999000,"Hokkaido, Japan region",105.700000000000000,us,175,7,Fri Aug 13 00:00:00 -0400 2010,42.853800000000000,4.900000000000000
2010zycx,66.364300000000000,Pakistan,25.899999999999900,us,29,6,Wed Dec 31 19:00:00 -0500 1969,28.331600000000000,5.000000000000000
2010vaaq,-178.416500000000000,Fiji region,568.500000000000000,us,108,6,Tue Apr 13 00:00:00 -0400 2010,-20.211400000000000,4.600000000000000
2010zyb3,141.434200000000000,Mariana Islands region,42.000000000000000,us,121,6,Wed Dec 31 19:00:00 -0500 1969,12.263800000000000,5.900000000000000
2010zzaj,-179.720499999999000,south of the Fiji Islands,590.299999999999000,us,87,6,Wed Dec 31 19:00:00 -0500 1969,-22.036500000000000,4.900000000000000
2010zyct,150.090000000000000,"New Britain region, Papua New Guinea",10.000000000000000,us,16,6,Wed Dec 31 19:00:00 -0500 1969,-7.079000000000000,5.100000000000000
2010vbak,96.447999999999900,"southern Qinghai, China",4.000000000000000,us,150,8,Tue Apr 13 00:00:00 -0400 2010,33.179000000000000,5.800000000000000
2010zydd,141.399499999999000,Mariana Islands region,24.899999999999900,us,34,6,Wed Dec 31 19:00:00 -0500 1969,12.244400000000000,5.200000000000000
2010zyc9,94.564499999999900,"Nicobar Islands, India region",212.300000000000000,us,30,6,Wed Dec 31 19:00:00 -0500 1969,7.744600000000000,4.900000000000000
2010zyaz,141.566499999999000,Mariana Islands region,10.000000000000000,us,33,6,Wed Dec 31 19:00:00 -0500 1969,12.491000000000000,5.200000000000000
2010zya3,141.636099999999000,Mariana Islands region,10.100000000000000,us,48,6,Wed Dec 31 19:00:00 -0500 1969,12.356999999999900,5.000000000000000
2010zzan,123.465199999999000,"Moro Gulf, Mindanao, Philippines",611.100000000000000,us,46,6,Wed Dec 31 19:00:00 -0500 1969,6.650800000000000,4.900000000000000
2010zzal,149.998300000000000,"New Britain region, Papua New Guinea",51.600000000000000,us,39,6,Wed Dec 31 19:00:00 -0500 1969,-7.137800000000000,5.000000000000000
2010zybb,179.714300000000000,south of the Fiji Islands,506.800000000000000,us,54,7,Wed Dec 31 19:00:00 -0500 1969,-24.718299999999900,4.700000000000000
2010vacg,123.512600000000000,"southwestern Ryukyu Islands, Japan",23.800000000000000,us,33,6,Tue Apr 13 00:00:00 -0400 2010,23.445100000000000,4.900000000000000
2010zyc4,141.449999999999000,Mariana Islands region,13.500000000000000,us,42,7,Wed Dec 31 19:00:00 -0500 1969,12.270300000000000,5.100000000000000
2010zzag,160.286300000000000,"near the east coast of the Kamchatka Peninsula, Russia",44.500000000000000,us,355,6,Wed Dec 31 19:00:00 -0500 1969,53.461599999999900,5.600000000000000
2010vbay,-72.909800000000000,Haiti region,10.000000000000000,us,24,Q,Tue Apr 13 00:00:00 -0400 2010,18.413699999999900,4.000000000000000
2010zycn,-91.558899999999900,offshore Guatemala,54.899999999999900,us,18,6,Wed Dec 31 19:00:00 -0500 1969,13.850800000000000,4.300000000000000
2010zyby,100.333500000000000,"southwest of Sumatra, Indonesia",10.000000000000000,us,15,6,Wed Dec 31 19:00:00 -0500 1969,-4.046700000000000,4.900000000000000
2010vba1,-72.761899999999900,"offshore Maule, Chile",35.000000000000000,us,71,6,Tue Apr 13 00:00:00 -0400 2010,-35.239699999999900,4.800000000000000
2010zycm,125.728399999999000,"Kepulauan Sula, Indonesia",40.299999999999900,us,15,6,Wed Dec 31 19:00:00 -0500 1969,-2.206100000000000,4.600000000000000
2010zycb,141.500200000000000,Mariana Islands region,10.000000000000000,us,29,6,Wed Dec 31 19:00:00 -0500 1969,12.187600000000000,5.000000000000000
