Exchange,Symbol,Name,MarketCap,IPO,Sector,Industry
NYSE,FCX,Freeport-McMoran Inc.,25.14B,N/A,Basic Industries,Precious Metals
NYSE,FMS,Fresenius Medical Care Corporation,30.9B,N/A,Health Care,Hospital/Nursing Management
NYSE,FDP,Fresh Del Monte Produce Inc.,2.23B,1997,Consumer Non-Durables,Farming/Seeds/Milling
NYSE,RESI,Front Yard Residential Corporation,571.83M,N/A,Finance,Real Estate
NYSE,FRO,Frontline Ltd.,818.48M,N/A,Transportation,Marine Transportation
NYSE,FSIC,FS Investment Corporation,1.89B,2014,N/A,N/A
NYSE,FCN,FTI Consulting Inc.,2.32B,N/A,Consumer Services,Professional Services
NYSE,FTSI,FTS International Inc.,2.38B,2018,Energy,Oilfield Services/Equipment
NYSE,FF,FutureFuel Corp.,601.01M,N/A,Basic Industries,Major Chemicals
NYSE,GCV,Gabelli Convertible and Income Securities Fund Inc. (The),87.82M,N/A,N/A,N/A
NYSE,GCV^B,Gabelli Convertible and Income Securities Fund Inc. (The),N/A,N/A,N/A,N/A
NYSE,GDV,Gabelli Dividend,1.87B,2003,N/A,N/A
NYSE,GDV^A,Gabelli Dividend,N/A,N/A,N/A,N/A
NYSE,GDV^D,Gabelli Dividend,N/A,N/A,N/A,N/A
NYSE,GDV^G,Gabelli Dividend,N/A,N/A,N/A,N/A
NYSE,GAB,Gabelli Equity Trust Inc. (The),1.6B,1986,N/A,N/A
NYSE,GAB^D,Gabelli Equity Trust Inc. (The),N/A,N/A,N/A,N/A
NYSE,GAB^G,Gabelli Equity Trust Inc. (The),N/A,N/A,N/A,N/A
NYSE,GAB^H,Gabelli Equity Trust Inc. (The),N/A,N/A,N/A,N/A
NYSE,GAB^J,Gabelli Equity Trust Inc. (The),N/A,N/A,N/A,N/A
NYSE,GGZ,Gabelli Global Small and Mid Cap Value Trust (The),125.52M,2014,N/A,N/A
NYSE,GGZ^A,Gabelli Global Small and Mid Cap Value Trust (The),N/A,N/A,N/A,N/A
NYSE,GGT,Gabelli Multi-Media Trust Inc. (The),233.82M,N/A,N/A,N/A
NYSE,GGT^B,Gabelli Multi-Media Trust Inc. (The),N/A,N/A,N/A,N/A
NYSE,GGT^E,Gabelli Multi-Media Trust Inc. (The),N/A,N/A,N/A,N/A
NYSE,GUT,Gabelli Utility Trust (The),306.27M,N/A,N/A,N/A
NYSE,GUT^A,Gabelli Utility Trust (The),N/A,N/A,N/A,N/A
NYSE,GUT^C,Gabelli Utility Trust (The),N/A,N/A,N/A,N/A
NYSE,GFA,Gafisa SA,160.6M,2007,Basic Industries,Homebuilding
NYSE,GCAP,GAIN Capital Holdings Inc.,361.16M,2010,Finance,Investment Bankers/Brokers/Service
NYSE,GBL,Gamco Investors Inc.,760.97M,1999,Finance,Investment Bankers/Brokers/Service
NYSE,GNT,GAMCO Natural Resources Gold & Income Tust ,134.79M,2011,N/A,N/A
NYSE,GNT^A,GAMCO Natural Resources Gold & Income Tust ,N/A,N/A,N/A,N/A
NYSE,GME,Gamestop Corporation,1.3B,2002,Consumer Services,Electronics Distribution
NYSE,GPS,Gap Inc. (The),12.45B,N/A,Consumer Services,Clothing/Shoe/Accessory Stores
NYSE,GDI,Gardner Denver Holdings Inc.,6.79B,2017,Technology,Industrial Machinery/Components
NYSE,IT,Gartner Inc.,12.02B,1993,Consumer Services,Other Consumer Services
NYSE,GLOG,GasLog LP.,1.48B,2012,Consumer Services,Marine Transportation
NYSE,GLOG^A,GasLog LP.,N/A,N/A,N/A,N/A
NYSE,GLOP,GasLog Partners LP,1.01B,2014,Consumer Services,Marine Transportation
NYSE,GLOP^A,GasLog Partners LP,N/A,N/A,N/A,N/A
NYSE,GLOP^B,GasLog Partners LP,N/A,N/A,N/A,N/A
